aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
460447,木易雨山,"5,890",57,"3,710",0,2022-09-24,近代现代,,1,1,4031,双向暗恋，表错情的故事,7378211,27620,9.5,0,轻松,"都市情缘,情有独钟,因缘邂逅,阴差阳错",绕月,2023-02-03,"233,658",言情,原创
3999902,听山说雾,"16,588",141,"2,142",0,2022-10-02,近代现代,,1,1,7433,躺赢人生！,6088867,1251,8.5,0,轻松,"娱乐圈,打脸,穿书,爽文",炮灰女配的退圈扶贫日常,2022-12-31,"922,208",言情,原创
3594945,千阙辞,601,11,84,0,2022-11-28,幻想未来,,1,0,421,只想给小哥哥们送温暖,6092708,129377,,0,轻松,"幻想空间,娱乐圈,甜文,穿书",钓系炮灰,2022-12-09,"37,515",纯爱,原创
3594945,千阙辞,"1,642",21,262,0,2022-06-29,幻想未来,,1,0,1819,病美人每天都想跑路,6131477,111882,,0,轻松,"幻想空间,欢喜冤家,系统,萌宠",病美人npc身陷修罗场,2022-08-30,"44,301",纯爱,原创
3594945,千阙辞,"3,888",29,266,0,2021-09-07,近代现代,,1,1,2146,全员恶人都是他,6000560,105560,8.5,0,轻松,"幻想空间,豪门世家,甜文,穿书",渣了万人迷反派后他崩坏了,2021-11-09,"101,492",纯爱,原创
3594945,千阙辞,"7,032",29,219,0,2021-11-21,近代现代,,1,1,3333,活在修罗场，前男友纠缠不休,5714592,101829,8.0,0,轻松,"幻想空间,无限流,系统,爽文",被渣的前男友都成了boss,2022-01-27,"123,470",纯爱,原创
1107838,羽小树,"12,615",56,742,0,2016-01-22,近代现代,,1,1,2164,请组团死远好吗,2590966,62664,8.9,0,轻松,"都市情缘,边缘恋歌,甜文",去你的旺前任体质,2018-06-05,"162,969",言情,原创
2222266,怯喜,"2,896",44,"2,393",0,2023-01-10,近代现代,,1,1,5306,财阀千金X她的私人机长,6329041,28580,,0,轻松,"近水楼台,甜文",假装一听菠萝罐头,2023-02-16,"202,679",言情,原创
2222266,怯喜,"18,578",53,"3,722",0,2022-07-25,近代现代,,1,1,13265,下个夏天，也在一起吧。,4000322,35953,9.4,0,轻松,"天之骄子,励志人生,甜文,校园",小鹿砰砰,2022-12-28,"259,551",言情,原创
2483035,见昀,"35,987",13,708,0,2020-11-13,近代现代,,1,0,5337,阴阳师系统咒术回战世界,5278311,120063,8.9,0,轻松,"综漫,系统,快穿,咒回",阴阳师系统·番外[综咒术回战],2021-02-02,"40,586",纯爱,衍生
2483035,见昀,"32,965",106,"1,495",0,2020-09-07,近代现代,,1,1,11640,横滨超能力者的“日常”,5015499,52564,8.5,0,轻松,"综漫,穿越时空,齐神,文野",异能力名为超能力,2021-12-06,"345,327",无CP,衍生
1107838,羽小树,"4,870",65,264,0,2015-09-17,近代现代,,1,1,800,到你的心里我不会迷路,2470102,41388,8.0,0,轻松,"都市情缘,天之骄子,甜文",他总迷路到我家,2019-04-26,"175,594",言情,原创
2483035,见昀,"15,836",9,739,0,2022-05-28,近代现代,,1,0,3748,全员白月光相关,6747164,125705,9.1,0,轻松,"综漫,甜文,马甲文",全员白月光·番外,2022-08-07,"16,578",纯爱,衍生
2483035,见昀,"39,919",201,"4,283",0,2020-08-04,近代现代,,1,1,15243,大号被封后该怎么生存,4489973,36648,8.7,0,轻松,"火影,综漫,穿越时空,少年漫",满级后我又穿越了,2022-05-31,"638,017",无CP,衍生
2483035,见昀,"1,732",10,118,0,2022-02-20,近代现代,,1,0,520,二次元降临在三次元的我身边,4853394,286060,,0,轻松,"综漫,穿越时空,文野,咒回",次元反穿纪事,2022-06-25,"21,358",言情,衍生
2222266,怯喜,104,3,7,0,2019-04-11,近代现代,,1,0,72,size=,4114409,暂无排,,0,轻松,,你回头看,2022-09-22,"3,765",言情,原创
2483035,见昀,"26,852",89,"1,630",0,2021-04-05,近代现代,,1,1,11037,看到这个撕了的剧情剧本了吗？,5217149,55811,8.7,0,轻松,"综漫,系统,文野,咒回",Mafia首领的剧本还在吗,2022-05-31,"493,718",纯爱,衍生
3999902,听山说雾,"5,380",81,283,0,2021-06-28,近代现代,,1,1,2639,报国不是工作，是信仰！,5868143,44406,8.0,0,轻松,"女强,励志人生,爽文,年代文",一颗红心向祖国[快穿],2022-04-14,"343,930",言情,原创
460447,木易雨山,"32,476",55,"1,444",0,2011-05-08,近代现代,,1,1,4052,这灯光暖了谁的心？,1189792,132755,9.6,0,轻松,,灯光（出版名：从前到以后 相恋到白头）,2022-11-28,"175,889",言情,原创
460447,木易雨山,"18,326",70,"4,442",0,2021-06-03,近代现代,,1,1,13484,一眼定终身,5830718,20288,9.4,0,轻松,,这口盐是甜不是咸,2022-12-24,"258,076",言情,原创
460447,木易雨山,"20,824",59,"1,077",0,2010-11-19,近代现代,,1,1,3404,青梅竹马，一往情深,973923,192052,9.3,0,轻松,"都市情缘,情有独钟,青梅竹马,种田文",千金日记,2022-10-07,"176,264",言情,原创
460447,木易雨山,374,6,40,0,2021-06-03,古色古香,,1,0,73,所爱非人,5830728,280797,,0,轻松,,沉鱼,2021-07-21,"20,943",言情,原创
