aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
1848202,豆子禹,"3,010",68,103,0,2020-09-07,近代现代,,1,1,912,女配小可怜爆红娱乐圈,0000-00-00,-1,4995274,195264,10.0,1298.7万,轻松,"情有独钟,娱乐圈,穿书,逆袭",国民女神穿成娱乐圈小可怜,2021-05-23,"257,291",言情,原创
1727405,蔚竹,"30,144",79,"1,481",0,2019-01-22,架空历史,,1,1,6527,皇帝的秘密，只有我知道。,0000-00-00,-1,3540966,62725,7.8,1.3亿,轻松,"宫廷侯爵,甜文",后妃上位攻略,2023-02-14,"283,803",言情,原创
1848202,豆子禹,607,75,84,0,2020-06-24,架空历史,,1,1,375,纨绔皇子人设崩了吗,0000-00-00,-1,4829691,暂无排,暂无评,753.6万,轻松,"穿越时空,甜文,复仇虐渣",穿成白莲花后乘风破浪,2020-09-21,"254,461",言情,原创
1848202,豆子禹,"1,961",91,64,0,2020-09-07,架空历史,,1,1,747,我只想和反派大魔头HE了,0000-00-00,-1,4829795,244264,暂无评,1132.6万,轻松,"欢喜冤家,甜文,穿书,异闻传说",狼王欺我是狐,2022-01-30,"310,391",言情,原创
1848202,豆子禹,"1,281",157,58,0,2016-07-16,古色古香,,1,1,268,师叔请受小妖女一拜,0000-00-00,-1,2848220,170998,暂无评,1263.6万,正剧,"阴差阳错,青梅竹马,相爱相杀,复仇虐渣",红鬃白马,2020-08-28,"499,498",言情,原创
1727405,蔚竹,"59,504",48,841,0,2018-05-15,近代现代,,1,1,10640,过来抱抱我。,0000-00-00,-1,2941983,113773,6.0,1.5亿,轻松,"情有独钟,甜文",还不过来抱抱我,2021-12-04,"159,023",言情,原创
1727405,蔚竹,"24,726",79,881,0,2018-10-19,近代现代,,1,1,5629,钢铁直男军哥哥x骄纵可人娇公主,0000-00-00,-1,3540974,127706,8.7,1.1亿,轻松,"情有独钟,天之骄子,甜文",慢慢喜欢你,2021-12-04,"305,196",言情,原创
1727405,蔚竹,"4,845",41,160,0,2020-02-06,近代现代,,1,1,1469,甜文你都不看吗？,0000-00-00,-1,3619276,177023,10.0,3981.1万,轻松,"天之骄子,业界精英,甜文",慢性占有欲,2021-12-04,"145,336",言情,原创
1727405,蔚竹,"17,474",67,378,0,2016-09-13,近代现代,,1,1,6590,任性少女扑倒腹黑医生,0000-00-00,-1,2840205,119242,7.9,1.1亿,轻松,"婚恋,甜文",亲爱的徐医生,2020-03-14,"235,254",言情,原创
1727405,蔚竹,"11,152",34,371,0,2020-11-10,架空历史,,1,1,4309,满级绿茶x偏执狠戾,0000-00-00,-1,4236152,168208,3.2,7202.5万,轻松,"宫廷侯爵,天作之合,重生,甜文",满级绿茶的重生日常,2021-12-04,"133,619",言情,原创
1727405,蔚竹,"29,421",67,524,0,2019-09-17,架空历史,,1,1,5157,淡然聪慧的小宫女x冷漠狠戾的王,0000-00-00,-1,3941959,155731,8.0,9227万,轻松,甜文,和亲之宫女撩人,2021-12-04,"240,098",言情,原创
1727405,蔚竹,"20,145",41,174,0,2019-05-20,近代现代,,1,1,3496,明艳动人小妖精x斯文败类陆总,0000-00-00,-1,3680974,308534,10.0,6414.7万,轻松,"豪门世家,天之骄子,婚恋,甜文",拐了个小妖精回家,2021-12-04,"150,491",言情,原创
1727405,蔚竹,"31,873",55,654,0,2016-12-01,近代现代,,1,1,8736,明艳动人女明星x痴情的霸道总裁,0000-00-00,-1,3008381,89481,7.5,1.3亿,轻松,"穿越时空,娱乐圈,甜文,穿书",穿成霸道总裁的白月光,2021-12-04,"200,503",言情,原创
1727405,蔚竹,"8,111",45,212,0,2020-01-14,架空历史,,1,1,3616,甜文不看看吗,0000-00-00,-1,4047047,185435,7.4,6625.9万,轻松,"宫廷侯爵,重生,甜文",被权臣表叔盯上后（重生）,2021-12-04,"172,549",言情,原创
1727405,蔚竹,"14,734",50,84,0,2016-05-11,近代现代,,1,1,3794,,0000-00-00,-1,2750039,179360,7.9,6625.4万,轻松,"都市情缘,爱情战争,天作之合,娱乐圈",听说是绯闻[娱乐圈],2020-03-14,"160,363",言情,原创
1693243,豆瓣君,"3,224",59,968,0,2016-12-24,近代现代,,1,1,3169,男寡、克夫，就很香,2023-02-19,19,3033656,53683,,3946.4万,正剧,"豪门世家,宅斗,穿书",穿书之克夫男寡,2023-02-27,"148,658",纯爱,原创
1693243,豆瓣君,"4,586",60,"1,334",0,2016-10-28,近代现代,,1,1,2667,归去来兮！,0000-00-00,-1,2908773,11848,8.1,5012.1万,正剧,"灵魂转换,业界精英,悬疑推理,复仇虐渣",重生之双面巨星,2018-09-11,"217,970",纯爱,原创
1693243,豆瓣君,"111,743",87,"18,463",0,2018-07-03,近代现代,,1,1,38828,寡夫门前是非多,0000-00-00,-1,3003019,9411,9.0,4.7亿,正剧,"豪门世家,宅斗,穿书",穿书之豪门男寡,2022-12-30,"419,005",纯爱,原创
3097366,半今八两,"42,726",139,"2,124",0,2021-09-22,幻想未来,,1,1,16410,荒星生存直播也没有那么危险嘛！,0000-00-00,-1,6217693,58322,8.2,1.6亿,轻松,"穿越时空,星际,穿书,直播",在生存直播当锦鲤[星际],2021-12-29,"455,315",言情,原创
1693243,豆瓣君,"55,638",77,"4,471",0,2017-07-02,近代现代,,1,1,13091,人家穿书我穿画，人家恋爱我生娃,0000-00-00,-1,3141118,18258,7.4,1.4亿,轻松,"生子,情有独钟,甜文,快穿",快穿之我又有了,2022-12-30,"285,334",纯爱,原创
4763677,阿然七七,"3,726",33,243,0,2023-01-27,近代现代,,1,1,1986,纯情硬汉的先婚后爱宠妻之路,2023-02-20,13,7233112,160471,,1963.5万,轻松,"穿越时空,种田文,女配,年代文",六零俏美人西北娇宠日常,2023-02-26,"129,063",言情,原创
1693243,豆瓣君,"30,659",68,"3,840",0,2018-01-23,近代现代,,1,1,6342,难言之隐，一按了之！,0000-00-00,-1,3323656,11554,8.9,1亿,轻松,"豪门世家,情有独钟,因缘邂逅,甜文",老公的私密按摩师,2023-01-28,"322,678",纯爱,原创
1693243,豆瓣君,"36,380",81,"3,985",0,2017-02-27,近代现代,,1,1,8515,撩夫上瘾，宠受成魔！,0000-00-00,-1,3035320,7888,7.7,1.2亿,轻松,"年下,豪门世家,青梅竹马,甜文",按摩师,2022-12-30,"365,606",纯爱,原创
3382750,潜寐,"3,230",34,"1,156",0,2023-01-11,近代现代,,1,1,4176,女主她后悔莫及,2023-02-19,13,6219237,39094,,4686.8万,轻松,"年下,重生,穿书",炮灰死后成了女主的白月光。,2023-02-27,"154,294",百合,原创
