aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
1802587,蓝桥遗梦,近代现代,4439669,40,2023-02-23,"都市情缘,情有独钟,甜文,姐弟恋",婚昏欲睡,2023-02-20,20.74万,言情,原创
1258129,画城,架空历史,2580816,41,2023-02-23,"灵异神怪,情有独钟,甜文,史诗奇幻",全职师父,2023-02-20,20.04万,言情,原创
5219517,知梦大人,近代现代,7457000,42,2023-02-23,"豪门世家,系统,穿书,爽文",穿进古早虐文后大杀四方,2023-02-20,28.62万,言情,原创
2393909,葳林顿街,近代现代,6824938,29,2023-02-17,"都市情缘,甜文",拂晓,2023-02-14,17.66万,百合,原创
4901184,费浪,近代现代,7349347,30,2023-02-17,"花季雨季,情有独钟,破镜重圆,校园",放学后,2023-02-14,35.45万,纯爱,原创
2454085,姜丝煮酒,近代现代,6941871,50,2023-02-18,"星际,甜文,未来架空",被拯救的怪物先生,2023-02-15,8.83万,言情,原创
1917383,清欢慢,架空历史,3958246,51,2023-02-18,"灵魂转换,宫廷侯爵,穿越时空,甜文",洞房昨夜停红烛,2023-02-15,11.7万,言情,原创
5021081,原川,幻想未来,7202995,37,2023-02-19,"年下,甜文,穿书,成长",当雄虫误入人类世界,2023-02-16,18.6万,纯爱,原创
2216628,云起风眠,近代现代,5560251,38,2023-02-19,"都市情缘,励志人生,甜文",殊途,2023-02-16,7.34万,言情,原创
3526544,笠枝,近代现代,7699798,39,2023-02-19,"都市情缘,甜文",他的千纸鹤糖[暗恋],2023-02-16,13.3万,言情,原创
1933304,九念于霁,近代现代,5033239,40,2023-02-19,"快穿,爽文",沙雕渣攻，在线快穿,2023-02-16,17.66万,纯爱,原创
5362171,莫堪寻,架空历史,7654979,41,2023-02-19,"年下,灵魂转换,宫廷侯爵,天作之合",当丞相和陛下灵魂互换后,2023-02-16,17.67万,纯爱,原创
3604057,釉上青梧,近代现代,6145337,42,2023-02-19,"都市情缘,情有独钟,近水楼台,甜文",温柔瘾,2023-02-16,14.66万,言情,原创
5385603,弦上书,架空历史,7689574,35,2023-02-21,"奇幻魔幻,穿越时空,西幻",我将光明神始乱终弃后,2023-02-18,15.41万,言情,原创
5203999,长明夜,架空历史,7504898,36,2023-02-21,"情有独钟,甜文",剑灵和龙傲天怎么可以HE,2023-02-18,8.99万,言情,原创
351761,小白NO1,架空历史,5568941,37,2023-02-21,"年下,情有独钟,近水楼台,甜文",穿成女主的白月光,2023-02-18,8.06万,百合,原创
3185076,职业鸽手,古色古香,6930666,38,2023-02-21,"武侠,江湖恩怨,情有独钟,甜文",我在江南开饭馆[综武侠],2023-02-18,10.66万,言情,衍生
5056436,凤斐,近代现代,7288411,39,2023-02-21,"情有独钟,天作之合,天之骄子,甜文",双向暗恋翻车指南,2023-02-18,28.61万,纯爱,原创
2061367,宴夜鲤,架空历史,4151720,33,2023-02-20,"情有独钟,异世大陆,仙侠修真,甜文",死遁后徒子徒孙都疯了,2023-02-17,10.31万,言情,原创
5234392,木涂,架空历史,7477058,34,2023-02-20,"生子,种田文,美食,甜文",农家小夫郎,2023-02-17,11.01万,纯爱,原创
5007818,雨后池上,近代现代,7434517,43,2023-02-23,"欢喜冤家,业界精英,时代新风",春暖花开去见你,2023-02-20,29.71万,言情,原创
4584690,却光,幻想未来,6646221,44,2023-02-23,"情有独钟,星际,未来架空,爽文",猩红夜梦,2023-02-20,19.09万,言情,原创
4646855,庄粥梦鱼,架空历史,6722126,45,2023-02-23,"奇幻魔幻,前世今生,甜文,成长",和我捅死的魔神成亲了,2023-02-20,27.18万,言情,原创
2136369,壬甲木,架空历史,6376539,46,2023-02-23,"宫廷侯爵,情有独钟,天作之合,女强",陛下的侍寝小逃夫,2023-02-20,65.09万,言情,原创
5256971,匀也,近代现代,7507707,31,2023-02-17,"情有独钟,破镜重圆,青梅竹马,时尚流行",她的信徒,2023-02-14,22.39万,言情,原创
4007207,白桃在上,架空历史,7486715,32,2023-02-17,"穿越时空,仙侠修真,异能,甜文",我在修仙界当站姐,2023-02-14,22.85万,言情,原创
2465652,林千阳,幻想未来,4218062,33,2023-02-17,"穿越时空,女强,星际,爽文",我在星际种灵植,2023-02-14,35.62万,无CP,原创
5388254,塘花,近代现代,7693811,34,2023-02-17,"豪门世家,情有独钟,破镜重圆,业界精英",野草不尽,2023-02-14,12.72万,言情,原创
3718825,阿烦烦,架空历史,7567203,52,2023-02-18,"因缘邂逅,甜文,成长",病秧子她靠养龙飞升,2023-02-15,9.43万,百合,原创
5332064,萧子夜,架空历史,7614686,43,2023-02-19,"强强,灵异神怪,前世今生,天作之合",你是人间不二法,2023-02-16,18.87万,百合,原创
1892863,幽幽筠,架空历史,6596545,44,2023-02-19,"情有独钟,破镜重圆,市井生活",外室有点甜,2023-02-16,26.55万,言情,原创
4808436,菜种子,架空历史,6931632,45,2023-02-19,"种田文,重生,甜文,爽文",我在原始部落生存的日子,2023-02-16,31.45万,纯爱,原创
2031970,阿呆爱小说,架空历史,6648600,46,2023-02-19,"豪门世家,阴差阳错,市井生活",当激起男主的占有欲,2023-02-16,32.72万,言情,原创
4428522,烟澜澜,架空历史,6438440,47,2023-02-19,"强强,欢喜冤家,励志人生",拭寒,2023-02-16,14.21万,言情,原创
564141,苏临客,近代现代,7194541,48,2023-02-19,"灵异神怪,天作之合,甜文,萌宠",对象他有九条命,2023-02-16,15.42万,纯爱,原创
773022,斯迈尔夫人,架空历史,3625895,49,2023-02-19,"综漫,家教,穿越时空,少年漫",不想当鬼王的柱不是好柱,2023-02-16,13.1万,言情,衍生
3388978,橘肉,近代现代,5798731,50,2023-02-19,"欢喜冤家,天之骄子,游戏网游,甜文",驯服那个野王,2023-02-16,21.15万,言情,原创
