aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
3462640,星映海,947,2,13,0,2021-03-17,近代现代,,1,0,81,但是，我拒绝,0000-00-00,-1,5608619,暂无排,,135.6万,正剧,"综漫,黑篮,文野,咒回",凌晨三点的喜久福外卖,2021-03-17,"4,330",言情,衍生
3027978,糖果粉粉,"47,323",138,"5,270",0,2022-08-06,近代现代,,1,1,23095,穿书后恶女配被男主盯上,0000-00-00,-1,5326679,27604,8.6,1.8亿,轻松,"穿越时空,娱乐圈,穿书,爽文",穿成恶女配后恋综爆红了！[穿书],2022-11-27,"334,927",言情,原创
3027978,糖果粉粉,"42,017",101,"5,142",0,2022-11-07,近代现代,,1,1,23183,成恶女配后和男主发生了意外,0000-00-00,-1,7281710,28339,8.2,1.8亿,轻松,"豪门世家,娱乐圈,穿书,爽文",笨蛋美人被男主盯上了！[穿书],2023-01-12,"244,741",言情,原创
3027978,糖果粉粉,"39,145",100,"3,132",0,2022-05-10,近代现代,,1,1,17328,恶女配想离婚，却陷入男主的陷阱,0000-00-00,-1,4906648,65033,8.6,1.3亿,轻松,"穿越时空,女配,甜文,穿书",穿成与男主联姻的恶女配[穿书],2022-08-28,"227,475",言情,原创
3027978,糖果粉粉,"69,401",82,"6,349",0,2020-09-16,近代现代,,1,1,19071,沙雕绿茶女配爆笑在线恶心男主,0000-00-00,-1,5018767,55995,8.1,1.8亿,爆笑,"穿越时空,女配,甜文",当绿茶女配恶心对象是男主时,2022-08-23,"248,257",言情,原创
3462640,星映海,0,1,2,0,2023-02-12,幻想未来,,1,0,1,故事是包裹在谎言下的真实,0000-00-00,-1,7792544,暂无排,,72.4万,正剧,,关于写作我所知道的一切,2023-02-12,"1,563",言情,原创
2376593,第一只喵,"31,911",141,548,0,2019-09-02,架空历史,,1,1,6736,帝王业，掌中娇,0000-00-00,-1,4034805,50622,9.2,7380.5万,正剧,"天作之合,女配,甜文,穿书",掌中娇宠,2019-12-16,"463,838",言情,原创
2973098,与神同行,"1,042",15,147,0,2020-07-05,近代现代,,1,0,163,。,0000-00-00,-1,4745607,暂无排,暂无评,887万,轻松,"英美衍生,西方罗曼,超级英雄",1,2021-11-30,"44,213",言情,衍生
2973098,与神同行,"1,238",22,78,0,2020-03-25,近代现代,,1,0,116,。,0000-00-00,-1,4682857,暂无排,10.0,854万,轻松,"英美衍生,甜文,超级英雄",［综英美］吻火,2021-08-30,"46,537",言情,衍生
2973098,与神同行,"1,021",10,44,0,2021-02-14,近代现代,,1,0,242,。,0000-00-00,-1,5511365,暂无排,,878.5万,轻松,"综漫,西方名著,英美衍生,少年漫",［原创+衍生］脑洞存放地,2023-01-27,"19,372",言情,衍生
3027978,糖果粉粉,"13,610",35,"1,491",0,2023-01-28,近代现代,,1,1,9291,恶女配被偏执男主盯上了,2023-02-21,3,7602982,35670,,7557.7万,轻松,"女配,打脸",穿成恶女配后，偏执男主不放过我！[快穿],2023-02-27,"95,286",言情,原创
3953916,司雨情,"10,126",70,"1,275",0,2022-10-21,幻想未来,,1,1,7407,美艳凶悍海蛇x纯情贞烈大黑狼,0000-00-00,-1,6874074,82129,9.0,6890.4万,轻松,"强强,天作之合,天之骄子,星际",海蛇Alpha饲养指南,2023-01-14,"239,056",言情,原创
3953916,司雨情,"15,737",36,"1,404",0,2023-01-25,架空历史,,1,1,15353,瓜还是强扭的甜,2023-02-19,1,7512269,114543,,1.1亿,轻松,"爱情战争,天作之合,婚恋,爽文",妄折她,2023-02-26,"117,191",言情,原创
2973098,与神同行,761,15,44,0,2020-04-16,近代现代,,1,0,60,。,0000-00-00,-1,4754313,暂无排,8.0,742.1万,轻松,"英美衍生,甜文,超级英雄",［综英美］至冬,2022-09-30,"44,116",言情,衍生
3953916,司雨情,"19,959",157,"3,650",0,2022-04-17,近代现代,,1,1,17351,无限流智商界的扛把子,0000-00-00,-1,6779936,37394,8.8,1.8亿,正剧,"强强,无限流,悬疑推理,爽文",不思议游戏[无限],2022-11-30,"528,019",言情,原创
3953916,司雨情,"4,491",58,109,0,2022-01-05,幻想未来,,1,1,2057,很热吗朱雀大人，你脖子红了,0000-00-00,-1,6440425,207828,9.3,2301.4万,轻松,"情有独钟,机甲,星际,甜文",与顶A契约结婚后[ABO],2022-09-26,"175,686",言情,原创
3027978,糖果粉粉,"17,213",86,802,0,2020-10-29,架空历史,,1,1,5758,女配闯后宫,0000-00-00,-1,5178410,97304,8.7,6677万,爆笑,"女配,穿书",暴君后宫的沙雕女配（穿书）,2021-01-26,"304,789",言情,原创
3027978,糖果粉粉,"11,353",54,502,0,2021-02-23,近代现代,,1,1,3813,沙雕绿茶女配在虐文里的爆笑日常,0000-00-00,-1,5371665,123287,7.9,4454.4万,爆笑,"甜文,穿书,爽文,都市异闻",当沙雕女配在虐文恶心男主时,2021-04-05,"134,978",言情,原创
3027978,糖果粉粉,"17,967",120,"1,028",0,2020-07-01,架空历史,,1,1,8103,女配爆笑闯荡修仙界,0000-00-00,-1,4883067,79552,8.7,7370.7万,爆笑,"女配,甜文,爽文,异闻传说",替身女配是个气人的沙雕,2021-01-25,"249,789",言情,原创
3027978,糖果粉粉,"4,544",45,261,0,2020-12-18,近代现代,,1,1,2587,娇软女配被男主、男配盯上了,0000-00-00,-1,5274111,284649,8.6,3497.3万,轻松,"穿越时空,女配,甜文",女配她又软又甜[穿书],2021-02-24,"100,185",言情,原创
2376593,第一只喵,"36,442",67,477,0,2019-04-01,架空历史,,1,1,8149,伪佛系女主x真偏执男主,0000-00-00,-1,3967681,67376,8.4,7847.5万,轻松,"女配,快穿,穿书,爽文",娇宠白莲花,2021-05-31,"228,848",言情,原创
3027978,糖果粉粉,"5,809",53,398,0,2020-07-21,架空历史,,1,1,2614,最后，她穿成了男主厌恶的女配,0000-00-00,-1,5010724,100573,8.6,3732万,轻松,"穿越时空,女强,女配,甜文",我把男主养成了偏执暴君（穿书女配）,2021-02-09,"129,942",言情,原创
2376593,第一只喵,"40,359",133,"1,149",0,2018-11-19,架空历史,,1,1,7363,美软娇征服病娇男,0000-00-00,-1,3918654,44434,8.0,8962.7万,轻松,"女配,快穿,穿书,爽文",撩尽天下病娇,2019-11-01,"469,149",言情,原创
2376593,第一只喵,633,18,40,0,2021-10-05,架空历史,,1,0,432,运气好谁也挡不住,0000-00-00,-1,4410112,209858,,1476.2万,轻松,"天作之合,穿越时空",首辅穿成我的猫,2021-10-25,"56,665",言情,原创
2078814,三日成晶,"60,888",93,"13,088",0,2022-02-02,架空历史,,1,1,47368,仙人抚我顶，结发，为夫妻。,0000-00-00,-1,5904775,15825,8.9,10.8亿,轻松,"情有独钟,天作之合,仙侠修真,姐弟恋",小师弟为何这样,2022-04-12,"438,445",言情,原创
4512610,静静的土豆,625,19,102,0,2023-02-09,幻想未来,,1,1,1348,全世界都劝我分手,2023-02-27,13,7483614,273744,,801.8万,轻松,"灵异神怪,科幻,恐怖,边缘恋歌",我死后发现男友变成怪物,2023-02-26,"72,451",言情,原创
2078814,三日成晶,"25,746",31,"6,085",0,2023-01-26,架空历史,,1,1,24604,我在小说世界跑龙套,2023-02-17,1,7660289,43283,,6.7亿,轻松,"天作之合,穿越时空,甜文,穿书",是我是我还是我,2023-02-26,"128,501",言情,原创
2078814,三日成晶,"473,369",165,"92,554",0,2022-03-10,架空历史,,1,1,253363,摆烂的正确姿势,0000-00-00,-1,6576011,5538,9.5,52.8亿,轻松,"情有独钟,穿越时空,穿书",世上还有这种好事儿？,2022-08-16,"1,065,478",言情,原创
2078814,三日成晶,"131,519",65,"24,667",0,2022-09-05,架空历史,,1,1,86500,【全文完】他想要逃，却逃不掉。,0000-00-00,-1,6490417,8149,9.2,16.8亿,轻松,"天作之合,仙侠修真,甜文",替嫁给灵府破碎的废人,2022-11-07,"348,553",言情,原创
4512610,静静的土豆,"3,645",73,722,0,2022-11-01,幻想未来,,1,1,2916,谁爱我，我让谁狗带,0000-00-00,-1,7344710,122827,9.1,3622万,轻松,"边缘恋歌,穿越时空,悬疑推理",穿进乙女游戏攻略人外boss,2023-02-16,"264,129",言情,原创
4512610,静静的土豆,"1,129",67,98,0,2022-04-02,近代现代,,1,1,1095,捡到的血族总是撩我,0000-00-00,-1,6599206,220359,9.1,1621.8万,轻松,"灵异神怪,奇幻魔幻,血族,西幻",女巫只想驱魔但总被血族撩,2022-08-06,"224,469",言情,原创
2078814,三日成晶,"98,084",66,"16,392",0,2022-05-05,架空历史,,1,1,57685,两块救赎甜饼,0000-00-00,-1,5382850,15814,9.0,12.8亿,轻松,"甜文,穿书,爽文",救赎的正确姿势,2022-07-08,"382,729",言情,原创
2078814,三日成晶,"159,070",190,"35,524",0,2021-08-04,架空历史,,1,1,90704,火葬场自救指南,0000-00-00,-1,5567258,6747,9.3,22.9亿,轻松,"穿越时空,穿书",恶毒女配自救手册（快穿）,2022-04-29,"1,453,567",言情,原创
2078814,三日成晶,"55,409",80,"11,758",0,2021-04-01,近代现代,,1,1,27297,弟弟真香，呲溜呲溜,0000-00-00,-1,4717033,19567,9.4,8.8亿,轻松,"天作之合,甜文,穿书,爽文",给你500万离开我弟弟,2022-06-03,"422,810",言情,原创
2078814,三日成晶,"213,564",114,"27,132",0,2021-05-19,架空历史,,1,1,85252,我是仙侠龙傲天后宫文女配,0000-00-00,-1,4507488,9442,8.8,17.5亿,轻松,"情有独钟,仙侠修真",守活寡使我快乐,2021-09-06,"610,385",言情,原创
4512610,静静的土豆,268,23,22,0,2022-08-08,幻想未来,,1,0,109,立志吃穷节目组！,0000-00-00,-1,7056610,275476,8.0,393.5万,轻松,"恐怖,爽文,升级流,直播",我在惊悚综艺搞食播,2022-09-03,"71,500",言情,原创
2078814,三日成晶,"202,273",81,"25,770",0,2021-01-13,架空历史,,1,1,84650,恶毒女配，我是专业的。,0000-00-00,-1,4457818,10760,8.8,16.6亿,轻松,"天作之合,仙侠修真,爽文",仙侠文女配觉醒后,2022-04-30,"414,064",言情,原创
2078814,三日成晶,"99,467",56,"14,155",0,2020-11-18,架空历史,,1,1,41233,带你领略身为早古霸总的快乐,0000-00-00,-1,4912008,14217,9.4,10.2亿,轻松,"天作之合,仙侠修真,爽文",女大三千位列仙班,2020-12-30,"246,082",言情,原创
2078814,三日成晶,"192,938",173,"47,672",0,2020-06-23,架空历史,,1,1,75688,我就做起了海王,0000-00-00,-1,4637335,2321,9.6,23.9亿,轻松,"强强,天作之合,仙侠修真",师徒恋女主觉醒后,2022-04-29,"1,019,038",言情,原创
4512610,静静的土豆,255,19,18,0,2022-06-19,架空历史,,1,0,147,恶龙竟然爱上我,0000-00-00,-1,6788284,暂无排,,340.4万,轻松,"奇幻魔幻,情有独钟,甜文,西幻",拯救反派恶龙后我死遁了[西幻],2022-07-11,"59,011",言情,原创
4512610,静静的土豆,198,45,5,0,2022-02-09,架空历史,,1,0,70,你是我的药,0000-00-00,-1,6550897,207752,暂无评,577.1万,轻松,"豪门世家,天作之合,美食,甜文",饭渣夫君要报恩,2022-04-01,"151,818",言情,原创
2078814,三日成晶,"83,851",63,"13,073",0,2020-05-06,近代现代,,1,1,29605,霸总才是傻白甜,0000-00-00,-1,4495098,22856,9.5,9.1亿,轻松,"幻想空间,豪门世家",傻白甜注定上位,2020-06-30,"271,469",言情,原创
2078814,三日成晶,"130,250",70,"26,024",0,2020-03-06,近代现代,,1,1,47186,系统追求宿主一百零八式。,0000-00-00,-1,4239421,11989,9.7,13.7亿,轻松,系统,反派穿成虐文女主[快穿],2020-05-07,"356,878",言情,原创
2078814,三日成晶,"405,253",145,"36,922",0,2019-07-02,近代现代,,1,1,97004,瞎写虐文，总要还的。,0000-00-00,-1,4075623,1252,9.8,25.2亿,轻松,"强强,穿越时空,系统,快穿",后妈她翻车了[快穿],2022-04-29,"1,013,684",言情,原创
2078814,三日成晶,"106,340",63,"9,367",0,2019-12-03,架空历史,,1,1,32223,,0000-00-00,-1,4029956,23124,9.4,8.5亿,轻松,"宫廷侯爵,情有独钟,天作之合,姐弟恋",长公主只想出嫁,2022-04-30,"281,371",言情,原创
2078814,三日成晶,"84,564",48,"5,145",0,2019-05-29,近代现代,,1,1,17413,强行报恩了解一下,0000-00-00,-1,3946122,9796,9.6,6.2亿,轻松,"豪门世家,情有独钟,种田文,都市异闻",霸总娇妻700岁,2019-11-08,"186,541",言情,原创
